Movie_name,Year_of_release,Certification,Duration,imdb_rating,Genre,Votes,Metascore
Zack Snyder's Justice League,2021,18,242 min,8.1,"Action, Adventure, Fantasy","306,442",54
Aspirants,2021– ,Not Rated,45 min,9.2,Drama,"271,969",Not available
WandaVision,2021,12+,350 min,8.1,"Action, Comedy, Drama","185,821",Not available
Radhe,2021,UA,135 min,1.8,"Action, Crime, Thriller","163,468",Not available
Godzilla vs. Kong,2021,UA,113 min,6.4,"Action, Sci-Fi, Thriller","145,851",59
Army of the Dead,2021,18,148 min,5.8,"Action, Crime, Horror","121,676",57
The Falcon and the Winter Soldier,2021,12+,50 min,7.4,"Action, Adventure, Drama","118,217",Not available
Mortal Kombat,2021,A,110 min,6.2,"Action, Adventure, Fantasy","117,269",44
Nobody,I 2021,A,92 min,7.4,"Action, Crime, Drama","109,862",64
Raya and the Last Dragon,2021,U,107 min,7.4,"Animation, Action, Adventure","85,798",75
Cruella,2021,PG-13,134 min,7.4,"Comedy, Crime","77,358",59
Lupin,2021– ,16,45 min,7.5,"Action, Crime, Drama","74,756",Not available
Invincible,2021– ,18,364 min,8.8,"Animation, Action, Adventure","69,048",Not available
Wrath of Man,2021,R,119 min,7.2,"Action, Crime, Thriller","64,697",57
The Little Things,2021,A,128 min,6.3,"Crime, Drama, Thriller","63,826",54
Mare of Easttown,2021,18,410 min,8.5,"Crime, Drama, Mystery","62,428",Not available
The Mitchells vs the Machines,2021,13,113 min,7.7,"Animation, Adventure, Comedy","62,066",80
Master,2021,UA,178 min,7.9,"Action, Thriller","60,183",Not available
Coming 2 America,2021,13,110 min,5.3,Comedy,"58,403",52
The Dig,2021,16,112 min,7.1,"Biography, Drama, History","58,005",73
Tandav,2021– ,18,30 min,3.7,"Drama, Thriller","55,380",Not available
Shadow and Bone,2021– ,16,Not available,7.8,"Action, Adventure, Drama","55,357",Not available
The Conjuring: The Devil Made Me Do It,2021,A,112 min,6.4,"Horror, Mystery, Thriller","54,591",53
 Shingeki no kyojin,2013–2021,13,24 min,9.9,"Animation, Action, Adventure","54,327",Not available
Judas and the Black Messiah,2021,A,126 min,7.5,"Biography, Drama, History","51,744",85
The Woman in the Window,2021,18,100 min,5.7,"Crime, Drama, Mystery","51,743",41
The White Tiger,2021,16,125 min,7.1,"Crime, Drama","50,436",76
Loki,2021– ,12+,Not available,8.9,"Action, Adventure, Fantasy","48,323",Not available
Friends: The Reunion,2021 TV Special,UA,104 min,8.1,"Comedy, Romance","45,726",Not available
Behind Her Eyes,2021,18,298 min,7.2,"Drama, Mystery, Thriller","45,342",Not available
Tom Clancy's Without Remorse,2021,13,109 min,5.8,"Action, Thriller, War","42,276",41
 Shingeki no kyojin,2013–2021,13,24 min,9.9,"Animation, Action, Adventure","39,849",Not available
 Shingeki no kyojin,2013–2021,13,24 min,9.9,"Animation, Action, Adventure","38,163",Not available
Luca,2021,PG,95 min,7.6,"Animation, Adventure, Comedy","36,499",71
Outside the Wire,2021,18,114 min,5.4,"Action, Adventure, Fantasy","36,363",45
Stowaway,2021,13,116 min,5.6,"Drama, Sci-Fi, Thriller","34,899",63
Thunder Force,2021,13,106 min,4.4,"Action, Adventure, Comedy","34,320",34
Those Who Wish Me Dead,2021,R,100 min,6.0,"Action, Drama, Thriller","33,934",59
Ginny & Georgia,2021– ,16,Not available,7.5,"Comedy, Drama","33,593",Not available
Boss Level,2021,94 min,94 min,6.9,"Action, Mystery, Sci-Fi","32,423",56
The Serpent,2021,18,458 min,7.7,"Crime, Drama, Thriller","31,255",Not available
Jupiter's Legacy,2021,18,56 min,6.8,"Action, Adventure, Drama","29,751",Not available
Fate: The Winx Saga,2021– ,16,Not available,6.9,"Action, Adventure, Drama","29,608",Not available
Malcolm & Marie,2021,18,106 min,6.7,"Drama, Romance","29,239",53
The Mauritanian,2021,A,129 min,7.4,"Drama, Thriller","28,563",53
Drishyam 2,2021,13,152 min,8.7,"Crime, Drama, Thriller","27,566",Not available
Palmer,2021,A,110 min,7.3,Drama,"25,794",53
Sweet Tooth,2021– ,16,Not available,8.0,"Action, Adventure, Drama","25,467",Not available
Tom and Jerry,2021,U,101 min,5.3,"Animation, Comedy, Family","24,919",32
Oxygène,2021,13,100 min,6.5,"Drama, Fantasy, Sci-Fi","24,836",67
Chaos Walking,2021,UA,109 min,5.7,"Action, Adventure, Fantasy","24,274",38
Spiral: From the Book of Saw,2021,R,93 min,5.3,"Crime, Horror, Mystery","24,167",40
Seaspiracy,2021,18,89 min,8.2,"Documentary, Adventure","23,951",Not available
 Shingeki no kyojin,2013–2021,13,24 min,9.6,"Animation, Action, Adventure","23,738",Not available
Raketsonyeondan,2021– ,13,80 min,1.0,"Comedy, Drama, Sport","23,569",Not available
Cherry,2021,A,142 min,6.6,"Crime, Drama","23,033",44
Bo Burnham: Inside,2021 TV Special,87 min,87 min,8.8,"Comedy, Drama, Music","22,595",Not available
Things Heard & Seen,2021,16,121 min,5.3,"Drama, Horror, Mystery","22,264",49
Resident Alien,2021– ,44 min,44 min,8.2,"Comedy, Drama, Mystery","21,677",Not available
